UserID,UserType,EV_Model,BatteryCapacity,ChargePreference,DailyDrivingDistance,PreferredChargingTime,PaymentMethod,Bank,State,City
1,Individual,Tesla Model 3,75 kWh,Fast charge,50 km,18:00-20:00,Credit card,HDFC Bank,Maharashtra,Mumbai
2,Business,Nissan Leaf,40 kWh,Fast charge,25 km,09:00-11:00,Mobile payment,Citibank,Delhi,New Delhi
4,Individual,Jaguar I-PACE,90 kWh,Fast charge,80 km,16:00-18:00,Credit card,HSBC,West Bengal,Kolkata
3,Home Charging,Hyundai Kona,64 kWh,Slow charge,100 km,12:00-14:00,Credit card,ICICI Bank,Karnataka,Kolkata
4,Individual,Jaguar I-PACE,90 kWh,Fast charge,80 km,16:00-18:00,Credit card,HSBC,West Bengal,Kolkata
3,Home Charging,Hyundai Kona,64 kWh,Slow charge,100 km,12:00-14:00,Monthly bill,ICICI Bank,Karnataka,Bangalore
4,Individual,Jaguar I-PACE,90 kWh,Fast charge,80 km,16:00-18:00,Credit card,HSBC,West Bengal,Kolkata
3,Business,Nissan Leaf,40 kWh,Eco-friendly,25 km,09:00-11:00,Mobile payment,Citibank,Delhi,New Delhi
5,Business,Mahindra eVerito,18 kWh,Eco-friendly,40 km,07:00-09:00,Mobile payment,State Bank of India,Tamil Nadu,Chennai
5,Business,Nissan Leaf,40 kWh,Eco-friendly,100 km,07:00-09:00,Monthly bill,Citibank,Karnataka,Bangalore
5,Business,Jaguar I-PACE,40 kWh,Eco-friendly,40 km,07:00-09:00,Mobile payment,State Bank of India,Tamil Nadu,Chennai
4,Individual,Jaguar I-PACE,64 kWh,Fast charge,100 km,16:00-18:00,Credit card,HSBC,West Bengal,Kolkata
3,Individual,Hyundai Kona,64 kWh,Slow charge,100 km,12:00-14:00,Monthly bill,ICICI Bank,Karnataka,Bangalore
2,Business,Nissan Leaf,40 kWh,Eco-friendly,25 km,07:00-09:00,Mobile payment,Citibank,Delhi,New Delhi
5,Business,Mahindra eVerito,18 kWh,Fast charge,80 km,07:00-09:00,Mobile payment,State Bank of India,West Bengal,Chennai
4,Individual,Jaguar I-PACE,90 kWh,Fast charge,40 km,16:00-18:00,Mobile payment,HSBC,West Bengal,Kolkata
2,Business,Hyundai Kona,40 kWh,Eco-friendly,100 km,12:00-14:00,Monthly bill,Citibank,Karnataka,New Delhi
3,Home Charging,Mahindra eVerito,64 kWh,Slow charge,100 km,12:00-14:00,Monthly bill,ICICI Bank,Karnataka,Bangalore
5,Individual,Hyundai Kona,90 kWh,Slow charge,100 km,07:00-09:00,Monthly bill,ICICI Bank,Karnataka,Kolkata
5,Individual,Jaguar I-PACE,40 kWh,Eco-friendly,80 km,16:00-18:00,Mobile payment,HSBC,Delhi,Bangalore
2,Business,Nissan Leaf,40 kWh,Eco-friendly,25 km,09:00-11:00,Mobile payment,Citibank,Delhi,New Delhi
4,Individual,Jaguar I-PACE,90 kWh,Fast charge,80 km,16:00-18:00,Credit card,HSBC,West Bengal,Kolkata
3,Home Charging,Hyundai Kona,64 kWh,Slow charge,100 km,12:00-14:00,Monthly bill,ICICI Bank,Karnataka,Bangalore
4,Individual,Jaguar I-PACE,18 kWh,Slow charge,80 km,16:00-18:00,Credit card,HSBC,West Bengal,Kolkata
5,Business,Mahindra eVerito,18 kWh,Eco-friendly,40 km,07:00-09:00,Mobile payment,State Bank of India,Tamil Nadu,Chennai
5,Business,Mahindra eVerito,18 kWh,Eco-friendly,40 km,07:00-09:00,Mobile payment,State Bank of India,Tamil Nadu,Chennai
4,Business,Jaguar I-PACE,64 kWh,Fast charge,80 km,16:00-18:00,Credit card,HSBC,West Bengal,Kolkata
3,Business,Nissan Leaf,40 kWh,Eco-friendly,100 km,09:00-11:00,Mobile payment,ICICI Bank,Delhi,Chennai
5,Business,Mahindra eVerito,18 kWh,Eco-friendly,40 km,07:00-09:00,Mobile payment,State Bank of India,Tamil Nadu,Chennai
4,Individual,Jaguar I-PACE,90 kWh,Fast charge,80 km,16:00-18:00,Credit card,ICICI Bank,West Bengal,Kolkata
3,Home Charging,Hyundai Kona,64 kWh,Slow charge,100 km,12:00-14:00,Monthly bill,ICICI Bank,Karnataka,Bangalore
5,Business,Hyundai Kona,18 kWh,Eco-friendly,40 km,07:00-09:00,Monthly bill,ICICI Bank,Tamil Nadu,Bangalore
3,Home Charging,Hyundai Kona,64 kWh,Slow charge,100 km,12:00-14:00,Monthly bill,ICICI Bank,Karnataka,Bangalore
